beta,se,z,p
"[-0.04436251625981533, 0.31331230843116925]","[0.07018352294816495, 0.0721011227417774]","[-0.6320930383129941, 4.345456721294957]","[0.5273260839823721, 1.389861740188867e-5]"
"[0.08907752668959501, 0.22050110614010823]","[0.055388174009293294, 0.07022116075793164]","[1.608240897680598, 3.1400948625760523]","[0.10778242922973466, 0.001688931349396086]"
"[-0.04227848772653467, 0.3124109938192965]","[0.06147888416265511, 0.06907506486334437]","[-0.6876912016600396, 4.522775250915206]","[0.4916472617516685, 6.103403836391671e-6]"
"[0.0237395608876284, 0.1721105453660369]","[0.07498762945308715, 0.07474888468107303]","[0.3165796953546859, 2.3025165673089507]","[0.7515625446567481, 0.021306058220003785]"
"[-0.05113175769772904, 0.2947185581091265]","[0.05718312331157876, 0.07448177178268423]","[-0.8941756717121395, 3.956921956274457]","[0.37122790673058115, 7.592172136859215e-5]"
"[0.018676069237752606, 0.2586335002704652]","[0.07913745360050918, 0.07017065860410723]","[0.23599532696655331, 3.685778435252236]","[0.8134362963177947, 0.00022800465146848505]"
"[-0.028084154595934534, 0.2768883879471228]","[0.07668557106938209, 0.07736068926638769]","[-0.3662247565519868, 3.579187188905096]","[0.7141973704290445, 0.0003446645327146111]"
"[-0.016013901669923582, 0.21064867731250675]","[0.06414228616105783, 0.06869334328247435]","[-0.24966215937039626, 3.066507863015153]","[0.8028486240627658, 0.0021657511198069843]"
"[-0.08660514395285548, 0.21775161809902172]","[0.06411172584613431, 0.06863139941070014]","[-1.350847178263529, 3.1727696064590614]","[0.17674439170753187, 0.0015099229391772702]"
"[0.10244751546711278, 0.28618076645442536]","[0.07045611319593446, 0.07186769069321665]","[1.454061412417288, 3.9820503997554635]","[0.1459292805943401, 6.832328650648198e-5]"
"[0.18841778970564568, 0.07561673628542112]","[0.06987245976010331, 0.08847523092060884]","[2.69659591708307, 0.8546655996102911]","[0.007005221961517188, 0.3927362999389703]"
"[0.07570611877223686, 0.25178215147273975]","[0.058072811471421966, 0.0713976893511101]","[1.3036413573586387, 3.526474788764645]","[0.19235589263322736, 0.00042113125800378505]"
"[0.03539748483730394, 0.24564952427016976]","[0.0628488266644254, 0.06685844522964933]","[0.5632163194757005, 3.6741734484910364]","[0.5732875915568321, 0.00023862060306945583]"
"[-0.002605693853876889, 0.3152568406697215]","[0.05667999827892648, 0.0676729256941171]","[-0.04597201716651571, 4.658537183610005]","[0.9633325533866114, 3.184642883921071e-6]"
"[0.12483047208014467, 0.22561979724630715]","[0.0670930892196925, 0.06950266487124744]","[1.860556333475634, 3.2462035472202997]","[0.06280685617763528, 0.0011695518553480368]"
"[0.0262685140151379, 0.1716558970689091]","[0.0685454965957391, 0.08002543328682707]","[0.38322742294890305, 2.145016778024309]","[0.701551146704185, 0.031951505543614166]"
"[-0.11164890261002645, 0.3735822869861391]","[0.06899268063766081, 0.0839219714864166]","[-1.6182717003907952, 4.451543265360564]","[0.10560405669892992, 8.525535066910022e-6]"
"[0.048917426827299465, 0.17332769817726074]","[0.06634800753750021, 0.07951650016928326]","[0.7372855439502249, 2.179770208802728]","[0.460948721401934, 0.02927449927999351]"
"[0.09334612991603189, 0.24993311048535424]","[0.08798512738392164, 0.09535711234997124]","[1.0609307810480015, 2.6210222218985813]","[0.2887213593676844, 0.008766654737326456]"
"[-0.025375523199325373, 0.3023515109483962]","[0.06175607263153509, 0.07383892420813226]","[-0.41089923821301466, 4.094744258409667]","[0.6811464210472592, 4.226346404937781e-5]"
"[-0.045923498912790905, 0.3330986102851752]","[0.06824144233852365, 0.07769383684786822]","[-0.6729561588833267, 4.287323471196477]","[0.5009751826738165, 1.8083886496532038e-5]"
"[-0.01355380154074984, 0.49836385741538175]","[0.06513219482225141, 0.07306241224738379]","[-0.20809680339713338, 6.82107039838706]","[0.8351533830477069, 9.036464265558546e-12]"
"[0.08702523672540081, 0.17988517230437565]","[0.07682617415591787, 0.09593608389307876]","[1.1327550497150107, 1.8750522744378284]","[0.25731713279081947, 0.06078553235515316]"
"[0.07207963889943825, 0.1940366954901394]","[0.0681126482532087, 0.05959639003227804]","[1.0582416151473404, 3.2558464595766132]","[0.2899453032070439, 0.0011305487062490624]"
"[0.05827438950752707, 0.2285555653548915]","[0.05571589115165553, 0.07394478526183905]","[1.045920442139343, 3.090894977185673]","[0.29559776543735194, 0.0019955420204089106]"
"[-0.060908384783495195, 0.40007354271919504]","[0.05531477488937585, 0.06502783645538403]","[-1.101123251523775, 6.152342820042733]","[0.27084301864053734, 7.63466231408949e-10]"
"[-0.0837984311067701, 0.37737668099247484]","[0.062265702107038266, 0.06902307048601503]","[-1.345820062587841, 5.467399209209858]","[0.1783605535870432, 4.566867325529042e-8]"
"[-0.02025593167993804, 0.3330709689526173]","[0.0633224283808558, 0.08299146569869914]","[-0.3198855792154363, 4.013315901201611]","[0.7490550700814816, 5.987170117249625e-5]"
"[0.058780151485438525, 0.20306576531463338]","[0.07365424470955968, 0.08248610360663813]","[0.7980551795382048, 2.4618178873258296]","[0.42483846959572535, 0.013823483680015194]"
"[-0.005179923932674963, 0.2595556077883133]","[0.07240169357128269, 0.0689414076258805]","[-0.07154423711891625, 3.7648724725324083]","[0.9429646186071688, 0.00016663410535095732]"
"[-0.07860208843780628, 0.2776580791106089]","[0.07204025100331687, 0.07939871331321137]","[-1.0910857103230704, 3.497009806888251]","[0.2752351699747461, 0.0004705045353962297]"
"[0.0830877561008874, 0.2812398995209373]","[0.07329653524197675, 0.08181703977695995]","[1.1335836793183538, 3.4374245302399187]","[0.25696922220582497, 0.0005872743519228522]"
"[-0.011983716109404673, 0.29845450643496624]","[0.0761161882112892, 0.08024181827593316]","[-0.15743978240396575, 3.719438477934907]","[0.8748982625603756, 0.00019966617230274177]"
"[0.02323198102793509, 0.2417158570312778]","[0.06877731318690354, 0.08395176129362197]","[0.33778552768994885, 2.8792231789619587]","[0.7355248167675472, 0.003986561073175258]"
"[0.010148811595210297, 0.23283490345929508]","[0.06933798030518099, 0.08165601766856292]","[0.1463672802487437, 2.851411446543457]","[0.8836314556797761, 0.004352560800022545]"
"[0.08275150065396174, 0.19393555886957817]","[0.07110805886308688, 0.07626187588879202]","[1.163742928397095, 2.5430210915921134]","[0.24452820685222218, 0.010989859505107703]"
"[0.0542053629870034, 0.23695849115604964]","[0.06813903152210221, 0.07829666088594994]","[0.7955112037279374, 3.0264188596907458]","[0.4263161963920201, 0.0024746922986616624]"
"[0.049073885390506146, 0.17364215717880746]","[0.06952956165409271, 0.07593813421433643]","[0.7057988605572851, 2.2866265938099044]","[0.480313230776231, 0.022217627629012474]"
"[-0.03652310783668954, 0.1804178296729967]","[0.06300371195771476, 0.06618090526058532]","[-0.5796977146553238, 2.726131184857731]","[0.5621184847761144, 0.006408152368460544]"
"[-0.009908148294304631, 0.2962260891046642]","[0.06425708331556633, 0.06730107604205052]","[-0.15419542536105704, 4.40150598661422]","[0.8774556490878677, 1.0750210144455521e-5]"
"[0.02405008072482741, 0.21973936973977198]","[0.07200135966231759, 0.08331333964471029]","[0.3340225912069017, 2.6375052383789974]","[0.7383625114400121, 0.008351833560716322]"
"[0.07166709299801956, 0.198451915167241]","[0.0716368039345218, 0.08098221121759253]","[1.0004228142774967, 2.4505618231887625]","[0.3171059337663564, 0.014263346634116582]"
"[0.045613976264595145, 0.20478277802739267]","[0.06708324725457815, 0.08087304669625817]","[0.6799607671270294, 2.532151147915979]","[0.49652930293716874, 0.011336511218013583]"
"[-0.12894930020148526, 0.389443233547567]","[0.06461919566084223, 0.07316106622793665]","[-1.995526234623586, 5.323094011974057]","[0.045985515780260444, 1.0201698659801351e-7]"
"[0.008089927766928578, 0.27612680184162214]","[0.07775131011084215, 0.0743698318743289]","[0.10404876464969645, 3.7128872673562685]","[0.9171306499578817, 0.00020490817405586275]"
"[0.041287225212207845, 0.1451089613331821]","[0.05771863889227117, 0.0732863783027275]","[0.7153187601888585, 1.9800263663429196]","[0.47441209892274155, 0.04770056607237864]"
"[0.07531001325268782, 0.13490224450539087]","[0.06121572547750921, 0.07278603384489825]","[1.2302396592580918, 1.8534083721728507]","[0.21860737267574334, 0.06382384824183726]"
"[-0.002137966392767142, 0.20685348254201247]","[0.06308154623891259, 0.07518775724107563]","[-0.033892105064607825, 2.7511590999951636]","[0.9729631888187866, 0.005938479340269065]"
"[0.05182091139678651, 0.15656468878304267]","[0.06420711782540409, 0.07464730743308128]","[0.8070898235566514, 2.097392312822502]","[0.4196147346657648, 0.0359588610199198]"
"[0.11087538076851551, 0.16703489169653696]","[0.07603573520098139, 0.08384906135109996]","[1.4582009429572063, 1.9920901797232313]","[0.14478516397335275, 0.04636116425123599]"
"[0.07619450934704351, 0.234586334298243]","[0.05683593420078057, 0.06067630406954757]","[1.3406045034445317, 3.866193531322518]","[0.18004889433588445, 0.0001105472260475415]"
"[0.17246745027907417, 0.1055191502909737]","[0.06813600810609546, 0.07477839884053336]","[2.5312232852051277, 1.4110913302114918]","[0.011366546493519926, 0.15821768605498565]"
"[0.10047581282671716, 0.1816363468198858]","[0.07482091179884653, 0.07433456413648822]","[1.3428841003280334, 2.443497838856997]","[0.17930950558270567, 0.014545656715255765]"
"[-0.06734072061889776, 0.3419970013112908]","[0.07499142239983803, 0.08414877748626379]","[-0.8979789749799866, 4.064194531728253]","[0.36919675860145273, 4.819861559028357e-5]"
"[-0.015309226992884013, 0.19238841838909648]","[0.06514868119921861, 0.07649976362453308]","[-0.2349890544379528, 2.514889056825772]","[0.8142172286774368, 0.011906984623227236]"
"[-0.050541662193891945, 0.15791050855192]","[0.06512220442956886, 0.07559342242934006]","[-0.7761049036439468, 2.088945089098522]","[0.43768704859018087, 0.03671266639256224]"
"[-0.06725059963072232, 0.27187917835600334]","[0.06351742069861663, 0.07325401468291026]","[-1.0587740952174243, 3.71145772054772]","[0.2897026739277421, 0.0002060690910199056]"
"[0.0719673408704972, 0.2612557368598438]","[0.07015147512734597, 0.07983515035209822]","[1.0258849260098222, 3.27243996795426]","[0.3049458287494155, 0.0010662351276832288]"
"[-0.04844290091200767, 0.12966763358372366]","[0.056818022947479875, 0.07047137385316724]","[-0.8525974400198013, 1.840004337844989]","[0.3938825827149534, 0.06576760046612087]"
"[-0.021937069877018375, 0.29040096026910284]","[0.05767538723474642, 0.06938818483233852]","[-0.38035409780140034, 4.185164390317944]","[0.7036825832951936, 2.8495980027061874e-5]"
"[-0.06249402270016169, 0.25023222180750254]","[0.07868826870662617, 0.07459124737890925]","[-0.7941974544281618, 3.354712926791139]","[0.4270804902207769, 0.0007944738449427027]"
"[-0.0686630781123278, 0.34105410540204006]","[0.0701183013013436, 0.08380774394139172]","[-0.9792461716555032, 4.069481999665155]","[0.32745836007957446, 4.711777964149364e-5]"
"[0.027220244233491273, 0.11546912999522252]","[0.07821988552513781, 0.09677738942080506]","[0.3479964723899194, 1.1931416076243024]","[0.727842832747769, 0.23281391872463628]"
"[0.03488125791319029, 0.23230823321244123]","[0.0731561886055299, 0.07342942133427553]","[0.4768052925949399, 3.1636941840368817]","[0.6335007765953433, 0.0015578039119576456]"
"[0.07793299340670094, 0.13504968607866807]","[0.07029035034202148, 0.08063035556917168]","[1.1087296197485372, 1.6749236081789418]","[0.26754684007690105, 0.09394922094872404]"
"[-0.09961774080214678, 0.2098671038359137]","[0.07064379653056763, 0.07318841978400317]","[-1.4101413810488244, 2.8674905737175713]","[0.15849794049457785, 0.004137411291618571]"
"[-0.060023634111241266, 0.2633255820954095]","[0.07030064500021228, 0.08790081403627246]","[-0.8538134196501329, 2.995712667538524]","[0.39320837773525397, 0.002738043000323026]"
"[0.005469078696526901, 0.36573624061470633]","[0.0678252444772842, 0.08173611642965174]","[0.08063485415608912, 4.474597724856263]","[0.9357323468366242, 7.655530691133452e-6]"
"[-0.10171906919857406, 0.3724075737876051]","[0.06971670264565155, 0.07961180477535325]","[-1.45903442558924, 4.67779338552186]","[0.14455563281876127, 2.899785104370425e-6]"
"[0.06212496448072552, 0.11085508284925566]","[0.07162180858945981, 0.08537184288720011]","[0.8674029000975007, 1.2984970114294707]","[0.3857212934092265, 0.1941166026278045]"
"[0.03348314694240145, 0.14544154777197832]","[0.0629760416007128, 0.05747426723284977]","[0.5316807168461739, 2.530550710333377]","[0.5949471496385634, 0.011388362145441727]"
"[0.11283434431195291, 0.19021907091303217]","[0.05790077675500967, 0.06721856366199797]","[1.948753551085829, 2.8298592018349327]","[0.051324863211854026, 0.004656849277049867]"
"[0.02571272834854401, 0.2214170107521622]","[0.0755395206854045, 0.08525977608450457]","[0.3403877614689729, 2.59696917961298]","[0.7335645339777741, 0.009405036260269171]"
"[0.042440990229932925, 0.2444131388166721]","[0.08032988005707487, 0.09682176393174881]","[0.5283337931013757, 2.5243615576861704]","[0.5972676807930644, 0.011590864893685087]"
"[0.07106856839685291, 0.21434075375015693]","[0.05909643697114478, 0.06601584060314032]","[1.202586349352226, 3.246807914462289]","[0.2291364327342191, 0.0011670712786019221]"
"[-0.26022652249514994, 0.30204590071649284]","[0.07865836124738501, 0.07891818021212164]","[-3.3083135520294245, 3.8273297724888407]","[0.0009385965901010001, 0.00012954091177685777]"
"[-0.013420771824748988, 0.26654827273835385]","[0.06158019242018031, 0.0826111924365835]","[-0.21793975135990148, 3.2265394661016384]","[0.8274760543841928, 0.0012529695100523832]"
"[-0.12108549751382028, 0.38353603941005365]","[0.07139880202040001, 0.07545484751245629]","[-1.6959037699151285, 5.082987403118646]","[0.08990410560968319, 3.715443511157477e-7]"
"[0.05955471092521035, 0.18618676998186723]","[0.06027620220679696, 0.08146975284794351]","[0.9880302465123582, 2.2853484081309206]","[0.3231378352357391, 0.022292406578456]"
"[-0.029002323450004468, 0.3810079523713151]","[0.07568606123393094, 0.08711217218438354]","[-0.3831923999897935, 4.373762504335964]","[0.7015771126927661, 1.2212323619354055e-5]"
"[0.011520409721362366, 0.1560406795960266]","[0.07549947081995088, 0.08803385599077047]","[0.15258927772932251, 1.77250760903153]","[0.8787221811074127, 0.07631033334916786]"
"[0.014024407366950696, 0.16635510712486012]","[0.08145387632123306, 0.09170045685187996]","[0.1721760584068713, 1.8141142676482716]","[0.86329911941309, 0.06966013541467463]"
"[0.019755825102289886, 0.19773727533279356]","[0.07161946447444217, 0.07760983794578927]","[0.2758443566600511, 2.547837755709704]","[0.7826676131889084, 0.010839286907467448]"
"[0.11300948356541855, 0.22154239197528114]","[0.08865091967572354, 0.09787559067565745]","[1.274769443777868, 2.2635101402292817]","[0.20239085901521464, 0.02360426023840032]"
"[0.013277956259938602, 0.23189211216888536]","[0.06317263178152656, 0.06937538734801177]","[0.21018526354669692, 3.3425703413464425]","[0.8335230806600522, 0.0008300631440477682]"
"[0.09417043850078315, 0.2859125673300318]","[0.06760593839115546, 0.07752091395605162]","[1.3929314604869532, 3.688199128974694]","[0.16364051778651964, 0.00022584687555236328]"
"[-0.028212484804588947, 0.20737308393619874]","[0.06591527928296412, 0.0730655665449808]","[-0.4280113065056905, 2.838178005620955]","[0.6686428886889949, 0.004537187175895951]"
"[0.027371532811960603, 0.23333741670497588]","[0.06434909818508505, 0.06505162515583231]","[0.4253600063396821, 3.5869575302079233]","[0.6705742560542125, 0.00033455878815069303]"
"[-0.04621475015236989, 0.43198640111569897]","[0.06916266930000421, 0.07148983585390631]","[-0.6682036801082094, 6.042626842765293]","[0.5040035866631813, 1.5162506015113783e-9]"
"[0.01177795012790719, 0.2328104700889227]","[0.06733674525054308, 0.05899350522411258]","[0.17491118829822266, 3.9463745916519204]","[0.8611494188113288, 7.934344928271878e-5]"
"[0.01791769112612171, 0.24180007239211054]","[0.06890935645839623, 0.07483687081707742]","[0.260018262352217, 3.2310286327061783]","[0.7948496866588589, 0.0012334558312893482]"
"[-0.06016285150120548, 0.34042924099362964]","[0.07042664037453907, 0.07587731752869485]","[-0.854262693509881, 4.486574540077647]","[0.3929594529512724, 7.237740285522794e-6]"
"[-0.044570466609795995, 0.2132095238318442]","[0.06854088339717569, 0.07915419599707564]","[-0.6502756369730796, 2.6935972394908947]","[0.5155141913155585, 0.0070685523242912576]"
"[0.07273453258440649, 0.27052833948254695]","[0.07636638155802819, 0.08443956174640882]","[0.9524417826336058, 3.203810321695001]","[0.3408729777897638, 0.0013562179478127485]"
"[-0.008729428596042437, 0.21066339179200677]","[0.06055679529726874, 0.06932175842948715]","[-0.14415275037574776, 3.03892163967955]","[0.8853798508914597, 0.0023742660200117066]"
"[0.09867573423910345, 0.04375740878426376]","[0.06778992814705426, 0.07529344883453253]","[1.4556105447559955, 0.5811582476508221]","[0.14550031137420943, 0.5611338045142249]"
"[-0.11632974436993522, 0.2602666718941215]","[0.07263905895498991, 0.08766154015751408]","[-1.6014764789562845, 2.968994971186486]","[0.10927142554711335, 0.00298775485960907]"
"[0.026575167532584085, 0.1747871038519333]","[0.06698456542230395, 0.08091152998647347]","[0.39673568627401007, 2.160224925683072]","[0.6915623814133343, 0.030755261464994826]"
"[-0.0008581707439396835, 0.2964634826580107]","[0.07147375620500145, 0.07163807195425673]","[-0.012006795074240581, 4.1383509434384615]","[0.9904201937618979, 3.4981101853169795e-5]"
"[0.0053945599739711105, 0.3034475526278832]","[0.06711772305684882, 0.08515607353805305]","[0.0803745974725917, 3.563428185686414]","[0.9359393298082788, 0.0003660428690397901]"
"[-0.06469266956055858, 0.2730569381851555]","[0.06577063080991476, 0.06804061207646803]","[-0.9836102948066346, 4.013146411414966]","[0.32530716138956006, 5.991472458552933e-5]"
"[0.006244604949620434, 0.16443870271849342]","[0.0756888136048472, 0.08649475088674136]","[0.08250367065101577, 1.901140832624792]","[0.9342461995305886, 0.05728356848081185]"
"[-0.015300891141810921, 0.33991926832282593]","[0.07844918081080192, 0.07313438649333898]","[-0.19504207671349058, 4.647872015085346]","[0.845360007661373, 3.353768835736083e-6]"
"[0.01889034852920929, 0.1571643582355152]","[0.0669192542346877, 0.07571282642904054]","[0.2822857000611559, 2.0757956828201696]","[0.7777244495982695, 0.03791285183292015]"
"[-0.18165939887809718, 0.40577513219438416]","[0.0521333068050532, 0.06236933849754357]","[-3.484517096860796, 6.506003462107678]","[0.0004930259631242319, 7.71764481044731e-11]"
"[0.08673573206433423, 0.18633072657633826]","[0.04954933222380443, 0.0599345219504496]","[1.7504924520993799, 3.1089048600468647]","[0.0800333754422872, 0.0018778217549612645]"
"[0.09321439891578549, 0.26989663826238025]","[0.052749193618730074, 0.07193033762991288]","[1.7671246235447118, 3.752194792286659]","[0.07720735957727526, 0.00017529317498019196]"
"[-0.07438033182534343, 0.2921696576746534]","[0.06532972860268328, 0.0704167609718731]","[-1.1385372848814868, 4.1491493451588335]","[0.25489619917554174, 3.337130499507106e-5]"
"[0.07257043491446162, 0.1525771442621269]","[0.07576369922139463, 0.07535252772682118]","[0.9578523179339259, 2.0248444062191453]","[0.3381372332348339, 0.04288334365923576]"
"[-0.024369134499120926, 0.1694912122876552]","[0.06665851843455306, 0.07668815115781835]","[-0.36558170015505415, 2.210135591075279]","[0.7146772323873297, 0.027095753427400043]"
"[-0.00624531054201351, 0.18956606770195408]","[0.06889688713822942, 0.07479519063310887]","[-0.09064720920530704, 2.534468675022545]","[0.9277729187951956, 0.011261799548387436]"
"[-0.1600945073459809, 0.3769063720680226]","[0.07181300244295558, 0.08433227402325091]","[-2.2293248005213466, 4.469301657442644]","[0.025792301672966082, 7.847539055559035e-6]"
"[-0.024867467940139124, 0.20227299117439612]","[0.06864831913918878, 0.08965526689220442]","[-0.36224438197414227, 2.2561194471440906]","[0.7171694163976771, 0.02406315152772555]"
"[-0.024914591643084846, 0.2395126323773286]","[0.07222704937464675, 0.07806649152701939]","[-0.3449482134297238, 3.0680593900448505]","[0.7301333034868958, 0.0021545379386725583]"
"[0.04396960439242429, 0.3301086955841676]","[0.07118680712342097, 0.0796892155973606]","[0.6176650726333528, 4.14245131050206]","[0.5367961400515829, 3.436133320184368e-5]"
"[-0.026430351780237397, 0.15746237062837362]","[0.06772723005822953, 0.07120825088512253]","[-0.3902470506694795, 2.2112938974221046]","[0.6963538727865701, 0.02701549167522801]"
"[-0.0004466831890169556, 0.19477155218635928]","[0.08815017551540828, 0.06959447045700118]","[-0.005067297783642838, 2.7986641885104726]","[0.9959568986362421, 0.0051314473541997935]"
"[0.0015748851062060945, 0.2285681870449213]","[0.06442486821646479, 0.07548753612076235]","[0.024445298062768996, 3.0278930640849877]","[0.9804974164790828, 0.0024626521533688108]"
"[0.04715235610374051, 0.26233416141580945]","[0.06077808514101555, 0.06288505304182511]","[0.7758118077319972, 4.171645704764373]","[0.43786011110058326, 3.024075872537225e-5]"
"[0.0163453867544088, 0.2306906250532476]","[0.0755649807621054, 0.07710091543509344]","[0.21630901761051918, 2.9920607784151665]","[0.8287468804177103, 0.0027710108916639987]"
"[0.010074665320477034, 0.3586433428866817]","[0.07622248373144, 0.07425200833546784]","[0.1321744559777638, 4.830082726737091]","[0.8948463050132206, 1.3647633616689257e-6]"
"[-0.06914677890295619, 0.33820146878471175]","[0.06618995765562115, 0.07961182473152296]","[-1.0446717500971832, 4.248131102700351]","[0.2961747056279321, 2.1556124136415646e-5]"
"[0.05401491270819621, 0.23032629729623066]","[0.06661830414548724, 0.07313433969320718]","[0.810811884226795, 3.1493590871597585]","[0.4174737086422857, 0.001636289995595765]"
"[-0.1827963313930742, 0.2377496851766175]","[0.0670276162706947, 0.07895820036738257]","[-2.727179356264755, 3.0110828776542284]","[0.006387830717499222, 0.0026031779015590483]"
"[-0.04068710907198901, 0.2971453071249909]","[0.07389189679738734, 0.08146424667106557]","[-0.5506301886329115, 3.6475548386864394]","[0.5818872098660873, 0.0002647478176741985]"
"[0.007514432769674608, 0.10022740502978329]","[0.07466647220645313, 0.07802299208367713]","[0.10063998669840953, 1.2845880727349273]","[0.919836253038208, 0.19893626880836052]"
"[-0.03125770052068866, 0.3113515205539794]","[0.06484821662607868, 0.083124862910667]","[-0.4820132633858491, 3.7455883793587015]","[0.6297965242381803, 0.00017997147330263863]"
"[0.012045756439962708, 0.27543270223982486]","[0.06406828536530033, 0.07430932650563069]","[0.1880143408127907, 3.706569756340805]","[0.8508654093146449, 0.00021008539097247048]"
"[0.037900692376614566, 0.24842032057896085]","[0.07323749435461742, 0.0724781300264972]","[0.5175039467229539, 3.4275211086177464]","[0.60480441455876, 0.0006091189458715761]"
"[0.12297968461788372, 0.24454989151761797]","[0.054815322587888224, 0.0705396255053107]","[2.24352751770646, 3.4668441994947448]","[0.024862817412666473, 0.000526607028483584]"
"[0.02649130733805003, 0.18637034652755105]","[0.08195340634183482, 0.06984714580344525]","[0.32324839833444474, 2.6682600181260123]","[0.7465071300384002, 0.00762452257081775]"
"[0.06188834658285723, 0.17251395265438949]","[0.07305924285384915, 0.0863507338309544]","[0.8470981105930886, 1.997828449172344]","[0.3969404381717073, 0.045735261908640294]"
"[-0.04148329853958863, 0.23249090539112488]","[0.0765069790533007, 0.07374072823751278]","[-0.5422158743281204, 3.1528154243648223]","[0.5876698008706419, 0.0016170401634423596]"
"[-0.03131241374699464, 0.3122721571613085]","[0.06874693052043511, 0.07793994874949606]","[-0.4554736263852098, 4.0065738067774594]","[0.6487685371898723, 6.160588041593376e-5]"
"[-0.11089430695786326, 0.3140534979071923]","[0.06681460237703307, 0.07567256701320166]","[-1.6597316007672926, 4.150163134447431]","[0.09696845917124988, 3.322383989663045e-5]"
"[0.06318421451454612, 0.19347800576916258]","[0.055210601759106775, 0.06861274922068722]","[1.1444217686709803, 2.8198550264595377]","[0.2524487646340581, 0.0048045350289784745]"
"[0.034557476401775034, 0.24748885283374694]","[0.077058492126181, 0.08170482832322241]","[0.44845772929462707, 3.029060312747819]","[0.6538228864665165, 0.002453157030605917]"
"[-0.06410307178888042, 0.2644544396799632]","[0.06906832775879125, 0.07183189728975034]","[-0.9281109572067373, 3.6815739199150745]","[0.3533500164176121, 0.000231798561364585]"
"[0.019117729259978056, 0.34907170664667436]","[0.06929321852791372, 0.07475301940657669]","[0.2758961073842568, 4.669666983591614]","[0.7826278637835618, 3.0168838897123214e-6]"
"[0.008796433049057632, 0.2760098499601113]","[0.06696105551782305, 0.07951770739239669]","[0.13136640366602767, 3.4710488897533627]","[0.8954854642985992, 0.0005184296009406339]"
"[-0.02719710585164734, 0.340837058119157]","[0.05849438313292927, 0.07747726166886587]","[-0.4649524346609751, 4.3991882363612484]","[0.641965519586715, 1.0865654998457282e-5]"
"[-0.0009367853138941222, 0.22841874343317958]","[0.07191457944006736, 0.07388500656371591]","[-0.013026361569350848, 3.0915439282826487]","[0.9896067611525641, 0.0019911851791734147]"
"[-0.034684944780817246, 0.2670857584172488]","[0.05896388539388771, 0.07304510337843012]","[-0.5882404890572687, 3.6564498654144963]","[0.5563708839848756, 0.00025573239866895033]"
"[0.0015737159723548545, 0.15063232600869786]","[0.05036184076800599, 0.06438583951630752]","[0.031248182122735457, 2.3395256960274002]","[0.9750716148794321, 0.019308243293704952]"
"[0.03113708978065516, 0.17299691745616402]","[0.07584339439350221, 0.07145522244162786]","[0.4105445178139705, 2.421053514982563]","[0.6814065538507533, 0.015475598854901079]"
"[0.09365210278110808, 0.2477211596621355]","[0.07026688020748897, 0.08062487288986511]","[1.3328057614706328, 3.072515351441566]","[0.18259555452485965, 0.002122629150353702]"
"[-0.045360700001513564, 0.21075832240094847]","[0.06677898138110491, 0.07396903885506449]","[-0.6792661263076462, 2.8492775580592573]","[0.49696925524220315, 0.004381863488887936]"
"[-0.09253973533689727, 0.2617996653129913]","[0.0628633623234464, 0.06216875484115986]","[-1.4720774059261916, 4.211113218881175]","[0.14099997603209263, 2.5411534116700627e-5]"
"[-0.0074911618977832025, 0.17553784137612102]","[0.061755834245086544, 0.07552289495402109]","[-0.12130290181253958, 2.3242996906168623]","[0.9034511216789533, 0.020109437391214256]"
"[-0.11139583177130273, 0.37487552075902997]","[0.06583426149037015, 0.07504100242460658]","[-1.6920647281445855, 4.995609182268934]","[0.09063363273666708, 5.865032988956554e-7]"
"[0.07193506444036353, 0.21187256179873995]","[0.0622262640532783, 0.06588531645014087]","[1.1560241569182512, 3.2157781614219894]","[0.24767127614686774, 0.0013009135221179612]"
"[0.030232834204033682, 0.27807395105704336]","[0.07988981335338316, 0.07599470385075306]","[0.3784316539870022, 3.659122767333316]","[0.7051099570705637, 0.00025308008594201515]"
"[0.005866652221712876, 0.16632952959102654]","[0.051569110018970986, 0.06432506890941532]","[0.11376291387527691, 2.5857652764469985]","[0.9094257381167378, 0.00971630727958573]"
"[0.054173879127170026, 0.17175994683337717]","[0.07146799911678016, 0.07945505180664321]","[0.7580158923807117, 2.1617246849371052]","[0.44844146877089885, 0.03063940375344753]"
"[0.058968539937793614, 0.16104202158106332]","[0.07099829926160944, 0.07195894385601083]","[0.8305627113758115, 2.237970889390857]","[0.40622070715572944, 0.02522295354630358]"
"[-0.003040458345774278, 0.23184824076381666]","[0.06671583232777248, 0.07791382419524776]","[-0.04557326559064145, 2.975700951127976]","[0.9636503779933622, 0.0029231976331297394]"
"[0.02363265360597541, 0.2855592680434011]","[0.06578798226712913, 0.07689723350945753]","[0.35922447826437487, 3.713518094357457]","[0.7194271660744148, 0.00020439784347032572]"
"[-0.04900259948281167, 0.18096623144186155]","[0.06703739559680275, 0.07264031088521639]","[-0.7309740935870842, 2.4912645504479998]","[0.4647949769433313, 0.012728930214646342]"
"[-0.054519068054724264, 0.29717751915275736]","[0.05864425635714686, 0.07510227769190735]","[-0.9296574198622289, 3.9569707908443337]","[0.35254848741251993, 7.590620818700709e-5]"
"[0.08822892288315645, 0.22993183369593348]","[0.08105116836820771, 0.07964838574437583]","[1.0885583102558238, 2.886836080192241]","[0.2763487096333055, 0.003891369064181707]"
