beta,se,z,p
"[0.0155384584377213, 0.18125613322520023]","[0.060711797306489144, 0.07665616478915352]","[0.2559380404977812, 2.364534329675297]","[0.7979986805417614, 0.018052754135051478]"
"[-0.032871018873630725, 0.24347922777871603]","[0.061348332340507204, 0.07184536760169774]","[-0.5358094934216586, 3.388934261267006]","[0.5920902204000434, 0.0007016482965833484]"
"[0.07457572031173729, 0.2380810889593309]","[0.08086571112250442, 0.08007401823985494]","[0.922216836735185, 2.9732626661269723]","[0.35641548256320377, 0.0029465217942002985]"
"[0.1000587625671275, 0.11755860560741518]","[0.07317368126621437, 0.07369439471589066]","[1.3674146337274198, 1.5952177375312118]","[0.17149537805255582, 0.1106635536147116]"
"[0.0331968427870661, 0.2503379984082847]","[0.0724387157624444, 0.0744028996900854]","[0.458274866384046, 3.3646269090456378]","[0.6467549787477741, 0.0007664722579582801]"
"[0.024689659548155076, 0.1868610958968603]","[0.07814207689029909, 0.07177135568051618]","[0.3159585786645525, 2.6035609070651513]","[0.7520339482063906, 0.00922608729486752]"
"[-0.1345265993227146, 0.2549714732436529]","[0.05705164737374395, 0.06633109532365268]","[-2.3579792261112837, 3.843920743349068]","[0.018374721197266648, 0.00012108412533295137]"
"[0.12972771745175624, 0.19500375572506198]","[0.06343890169125284, 0.06547284415969962]","[2.0449237611823836, 2.9783913961246897]","[0.040862374937688406, 0.002897656992234947]"
"[0.02083633526787873, 0.2649709383987477]","[0.07365429210677454, 0.08703310160395454]","[0.2828937007183897, 3.0444846100567804]","[0.7772583235316611, 0.002330793551805104]"
"[0.043765955769445565, 0.24649225958190016]","[0.08082655940124535, 0.07370064436312289]","[0.5414798810398359, 3.3445061669669185]","[0.5881768612407251, 0.0008242919707752418]"
"[0.016461689835585186, 0.26364073231707896]","[0.0757017371335178, 0.07207855037101564]","[0.21745458504540163, 3.657686384645919]","[0.8278540960279195, 0.00025450218060667023]"
"[0.05779405866987883, 0.17214098639930023]","[0.06750276527095421, 0.08081179219381489]","[0.8561732017628477, 2.1301468724570056]","[0.3919019831813004, 0.03315948961162472]"
"[0.010560404336962002, 0.33202863632609486]","[0.07114394151621668, 0.07973506434793573]","[0.1484371558828357, 4.164148346043077]","[0.8819977786983719, 3.1251688271336635e-5]"
"[-0.07182587239353994, 0.26820375704828237]","[0.07046722014672212, 0.08465518975335125]","[-1.019280627843541, 3.168190371195346]","[0.30806975816323284, 0.0015339104225133898]"
"[0.0545742890654256, 0.2568760543020042]","[0.08418827411008169, 0.09308220885439197]","[0.6482409770518177, 2.7596686570237514]","[0.5168291024211474, 0.005786001254832813]"
"[-0.08338512104070696, 0.3964711199176583]","[0.07223978269924385, 0.07278097484756478]","[-1.1542825563009311, 5.44745547511616]","[0.248384345664144, 5.109550014151102e-8]"
"[-0.06428186723372922, 0.21301437454781103]","[0.07008310704794751, 0.08910505786863693]","[-0.9172234214694654, 2.3905980159044096]","[0.3590255760175185, 0.01682095859139492]"
"[0.055351009063324755, 0.2696600717398829]","[0.08145504368726789, 0.089341515983821]","[0.6795283208715115, 3.018306425298582]","[0.4968031693312343, 0.002541917369508461]"
"[0.11676344307497645, 0.257298195961669]","[0.07803546475272805, 0.08217747729482855]","[1.4962868926963686, 3.1310062614669825]","[0.13457890927976546, 0.0017420844618110123]"
"[0.000975271169606403, 0.19673089895956963]","[0.07797799350369203, 0.07865055943757969]","[0.012507005191922858, 2.501328666526566]","[0.9900211138143379, 0.012372829406544153]"
"[0.04331336490472374, 0.31959916962419754]","[0.068892644079199, 0.0755559548478205]","[0.6287081223785037, 4.229966655413352]","[0.5295401595937101, 2.3372595383057396e-5]"
"[0.045672709635204506, 0.16291088582691562]","[0.0757981444001657, 0.0831112104762077]","[0.6025570941958924, 1.9601553736670967]","[0.5468033706104702, 0.049977632693783886]"
"[-0.07810465787290277, 0.2540734296222697]","[0.06479963282713237, 0.06415095254064894]","[-1.2053256240087742, 3.960555838376325]","[0.22807762135305415, 7.477550466436717e-5]"
"[-0.13434637944931263, 0.3059180181225377]","[0.05888177639176425, 0.07607103431068143]","[-2.281629184477246, 4.021478357624783]","[0.02251124217892677, 5.783402248367568e-5]"
"[-0.016797661117042773, 0.1745917863207052]","[0.06774434551350189, 0.07803756020271171]","[-0.24795665217099028, 2.237278893230165]","[0.8041679461278574, 0.025268117828504976]"
"[-0.10324880536127755, 0.16792478656989407]","[0.06266299901719039, 0.07181112899086685]","[-1.6476837524637662, 2.33842287302364]","[0.0994175838310957, 0.01936532233863984]"
"[-0.12930960035527858, 0.3115804488120656]","[0.05890216572497183, 0.07171788631379747]","[-2.195328452930844, 4.344529165970722]","[0.02814004530637274, 1.395746995220426e-5]"
"[0.07760324692576218, 0.11026185218778026]","[0.07735165578545827, 0.0870900385018441]","[1.0032525630867128, 1.266067326235543]","[0.31573901761374634, 0.20548897921315318]"
"[-0.12526959318290312, 0.380248971138661]","[0.06655306874619818, 0.07527013485575806]","[-1.8822511950669307, 5.051790751635308]","[0.0598019175915927, 4.3768704467559726e-7]"
"[-0.020759497384813138, 0.2788069408827899]","[0.06534263864995835, 0.08196857892427822]","[-0.3177021591678005, 3.401388001862873]","[0.7507108732346736, 0.0006704459461285406]"
"[-0.15089331356197555, 0.4065106820771772]","[0.08011173388795949, 0.09490143547159967]","[-1.8835357348900705, 4.283504038237969]","[0.05962780176618501, 1.8397275802617242e-5]"
"[0.14322121967451773, 0.24637232809135942]","[0.06462442396346221, 0.07221464557290352]","[2.2162088401049904, 3.4116670674875342]","[0.02667720273501864, 0.0006456692125072546]"
"[-0.005051903431841948, 0.26339532232123636]","[0.0783605990736434, 0.07842371624989423]","[-0.06446994397138493, 3.358618220564007]","[0.9485960385454965, 0.0007833320697539544]"
"[-0.018812597767940017, 0.1859085903482415]","[0.07118923329707444, 0.0646200573144653]","[-0.26426183984078855, 2.876948707172155]","[0.7915781627413035, 0.004015408592199819]"
"[0.019595135685498134, 0.17740030100814672]","[0.06438164619082498, 0.07233111990762521]","[0.3043590346761067, 2.4526137744681185]","[0.7608543738147551, 0.014182252176256665]"
"[-0.04626708155617559, 0.43296433550459296]","[0.06796448022623328, 0.08288113389223453]","[-0.6807538496898148, 5.2239190654359415]","[0.4960272563440184, 1.7517536988766215e-7]"
"[0.09990984314323359, 0.17335278983440336]","[0.060582037230992904, 0.07274605970791993]","[1.649166117710567, 2.382985285119577]","[0.09911360725318244, 0.017172880755135355]"
"[0.10800685654349096, 0.09788646656768882]","[0.07075336517756176, 0.0853734314817148]","[1.5265260708439565, 1.146568257463729]","[0.12687890276738267, 0.2515601017449216]"
"[0.014062854067075484, 0.18983491702827082]","[0.06799287484902186, 0.0654319763603146]","[0.2068283492689792, 2.9012560461708494]","[0.8361439153116725, 0.0037167004945182483]"
"[0.032087419003976915, 0.26237579328790095]","[0.08416772840373478, 0.07403592993539294]","[0.3812318523087656, 3.5438981250976624]","[0.703031215843333, 0.00039425755609505387]"
"[-0.021207568514644674, 0.2149015947454792]","[0.05984652465311938, 0.07171358004704824]","[-0.3543659157748481, 2.9966652704340153]","[0.7230646746600327, 0.0027295023862735305]"
"[-0.16058575374665016, 0.31093934556329755]","[0.0644320991575406, 0.08279691301675361]","[-2.49232534476345, 3.755446117905148]","[0.01269097294204757, 0.0001730329858770285]"
"[-0.06307512046399895, 0.17858075862344402]","[0.07313591408728332, 0.08325334831233994]","[-0.8624370290733303, 2.1450279447436293]","[0.388447071242864, 0.0319506127625995]"
"[-0.06876369636023075, 0.29276982138461305]","[0.07891319069602958, 0.07338712428816392]","[-0.8713840582762105, 3.9893894770288987]","[0.38354448721961365, 6.624357592006123e-5]"
"[-0.13771628995409618, 0.3286976331675474]","[0.07314524209160941, 0.08167759273930537]","[-1.8827785104821437, 4.0243305678298915]","[0.059730390486382116, 5.7137612601465776e-5]"
